Location,Cabinet,Elevation,Number of Rack Units,Rack Units,Power Status,Label Name,FQDN,Manufacturer,Model Number,Serial Number,Asset Tag,Enviroment,Business Service,Subsystem,Type of Power,Voltage,Comments,Cage
Amsterdam-EUN Networks,B7,20,1,20,,aenrpprqdb4.nrs ,aenrpprqdb4.nrs.neustar.com,HP,ProLiant DL380 G8,MXQ2491PW2,156555,Production,,,,,,
Amsterdam-EUN Networks,B7,22,1,22,,aenrpprqdb3.nrs ,aenrpprqdb3.nrs.neustar.com,HP,ProLiant DL380 G8,MXQ2491PW1,156554,Production,,,,,,
Amsterdam-EUN Networks,B7,17,2,"16,17",,aenrsprgw1.nrs ,aenrsprgw1.nrs.neustar.com,SUN,X4270,1026XF7003,144581,Production,Pathfinder,Pathfinder,,,,
Amsterdam-EUN Networks,B6,31,4,"28,29,30,31",,aenrq11506b,aenrq11506b,Cisco,11500,,,,,,,,,
Amsterdam-EUN Networks,B6,40,3,"38,39,40",,aenrq2200la1.nrs ,aenrq2200la1.nrs.neustar.com,A10 NETWORKS,3845-MB,AX22161109330019,142766,Production,"ENUM, Registry, Pathfinder, Network - Shared","Network.NET.Network - Shared, ENUM-Network, Pathfinder-Network, Network.NET.Registry",,,,
Amsterdam-EUN Networks,B6,43,2,"42,43",,aenrq2200la2.nrs ,aenrq2200la2.nrs.neustar.com,A10 NETWORKS,AX2200,,142771,Production,"ENUM, Registry, Pathfinder, Network - Shared","Network.NET.Network - Shared, ENUM-Network, Pathfinder-Network, Network.NET.Registry",,,,
Amsterdam-EUN Networks,B6,18,1,18,,aenrpprzt2.nrs ,aenrpprzt2.nrs.neustar.com,HP,ProLiant DL360 G5,CZJ802A63H,,Production,Pathfinder,Pathfinder,,,,
Amsterdam-EUN Networks,B6,21,1,21,,aenrppren4.nrs ,aenrppren4.nrs.neustar.com,HP,ProLiant DL360 G5,CZJ802A3FE,,Production,Pathfinder,Pathfinder,,,,
Amsterdam-EUN Networks,B6,22,1,22,,aenrppren2.nrs ,aenrppren2.nrs.neustar.com,HP,ProLiant DL360 G5,CZJ802A631,,Production,Pathfinder,Pathfinder,,,,
Amsterdam-EUN Networks,B6,24,1,24,,aerpprqdb2,aerpprqdb2,HP,ProLiant DL360 G5,JMX1138200B,,,,,,,,
Amsterdam-EUN Networks,B6,15,1,15,,aegspprxm2.nrs ,aegspprxm2.nrs.neustar.com,HP,ProLiant DL360 G7,USE152PJ8D,151882,Pre-Production,Registry,TLD.HOST.Registry,,,,
Amsterdam-EUN Networks,B6,37,4,"34,35,36,37",,aenrq6504b.nrs ,aenrq6504b.nrs.neustar.com,Cisco,WSC6504-E,FOX1152GAAD,12099,,,,,,,
Amsterdam-EUN Networks,B6,33,1,33,,aenrq5550a2.nrs ,aenrq5550a2.nrs.neustar.com,Cisco,ASA-5550,JMX1203L12T,12095,Production,"Network Security Services, Pathfinder, ENUM","Network Security Services-Appliances, Pathfinder-Network, ENUM-Network",,,,
Amsterdam-EUN Networks,B6,32,1,32,,aenrq5550b2.nrs ,aenrq5550b2.nrs.neustar.com,Cisco,ASA-5550,JMX1203L12M,12097,Production,"Network Security Services, ENUM, Pathfinder","Network Security Services-Appliances, ENUM-Network, Pathfinder-Network",,,,
Amsterdam-NLD-LVLT,1.27.05,22,9,"14,15,16,17,18,19,20,21,22",,rtr1ams ,rtr1ams.scrubbingcenter.com,Juniper,MX480,JN11CC284AFB,149280,Production,"UltraDNS-Common, Site Protect","Ultra-Network, Site Protect",,,,
Amsterdam-NLD-LVLT,1.27.04,40,1,40,,mrv1ams ,mrv1ams.scrubbingcenter.com,MRV,4000T,,149279,Production,Site Protect,Site Protect
Amsterdam-NLD-LVLT,1.27.04,34,1,34,,sw1ams ,sw1ams.scrubbingcenter.com,Cisco,Catalyst 4948,FOX1503HDLH,,Production,"Site Protect, UltraDNS-Common","Site Protect, Ultra-Network"
Amsterdam-NLD-LVLT,1.27.04,33,1,33,,,,Juniper,EX4550,LX0213449711,159575,,,
Amsterdam-NLD-LVLT,1.27.04,26,2,"25,26",,ntsc1ams ,ntsc1ams.scrubbingcenter.com,Citrix,Netscaler MPX,5HA9J21EXX,149282,Production,Site Protect,Network.NET.Site Protect
Amsterdam-NLD-LVLT,1.27.04,30,2,"29,30",on,admin2.ams,admin2.ams,HP,ProLiant DL380 G7,USE124N85R,148811,,,
Amsterdam-NLD-LVLT,1.27.04,32,2,"31,32",on,admin1.ams,admin1.ams,HP,ProLiant DL380 G7,USE124N85V,148810,,,
Amsterdam-NLD-LVLT,1.27.04,28,2,"27,28",on,pcap1ams ,pcap1ams.scrubbingcenter.com,HP,ProLiant DL380 G7,USE124NA6H,148808,Production,Site Protect,Site Protect
Amsterdam-NLD-LVLT,1.27.04,15,1,15,,,,Juniper,SSG 140,,,,,
Amsterdam-NLD-LVLT,1.27.04,14,6,"9,10,11,12,13,14",,tms2ams ,tms2ams.scrubbingcenter.com,ARBOR ,TMS-4400,1273312-002,149662,Production,Site Protect,Network.NET.Site Protect
Amsterdam-NLD-LVLT,1.27.04,8,6,"3,4,5,6,7,8",,tms1ams ,tms1ams.scrubbingcenter.com,ARBOR ,TMS 4400,CZB-3103S,149662,,,
Amsterdam-NLD-LVLT,1.27.03,41,1,41,,sw-amssp01-02,sw-amssp01-02,Cisco,Catalyst 3750 X,FDO1723H2T7,157947,Production,UltraDNS-Recursive,Resolver.HOST.UltraDNS-Recursive
Amsterdam-NLD-LVLT,1.27.03,39,2,"38,39",on,dnsa-amssp01-01 ,dnsa-amssp01-01.prod.ultradns.net,HP,ProLiant DL385p G8,CZJ3430WFL,157679,Production,UltraDNS-Recursive,Resolver.HOST.UltraDNS-Recursive
Amsterdam-NLD-LVLT,1.27.03,35,2,"34,35",on,dnsa-amssp01-03 ,dnsa-amssp01-03.prod.ultradns.net,HP,ProLiant DL385p G8,CZJ3430WFM,157689,Production,UltraDNS-Recursive,Resolver.HOST.UltraDNS-Recursive
Amsterdam-NLD-LVLT,1.27.03,31,2,"30,31",on,dnsa-amssp01-05 ,dnsa-amssp01-05.prod.ultradns.net,HP,ProLiant DL385p G8,CZJ3430WFR,157691,Production,UltraDNS-Recursive,Resolver.HOST.UltraDNS-Recursive
Amsterdam-NLD-LVLT,1.27.03,27,2,"26,27",on,dnsa-amssp01-07 ,dnsa-amssp01-07.prod.ultradns.net,HP,ProLiant DL385p G8,CZJ3430WFY,157895,Production,UltraDNS-Recursive,Resolver.HOST.UltraDNS-Recursive
Amsterdam-NLD-LVLT,1.27.03,33,2,"32,33",on,dnsa-amssp01-04 ,dnsa-amssp01-04.prod.ultradns.net,HP,ProLiant DL385p G8,CZJ3430WFZ,157690,Production,UltraDNS-Recursive,Resolver.HOST.UltraDNS-Recursive
